time[s];Vsg[mV];pH/ion concentration [mM]
3810.59;2337.54;-3.312
3815.58;2337.76;-3.320
3820.24;2334.05;-3.250
3825.18;2335.95;-3.280
3830.17;2337.30;-3.310
3835.15;2338.65;-3.330
3840.09;2338.35;-3.330
3845.07;2338.45;-3.330
3850.02;2338.45;-3.330
3855.58;2337.40;-3.314
3860.57;2338.01;-3.320
3865.55;2337.89;-3.316
3870.54;2338.14;-3.324
3875.53;2338.68;-3.330
3880.51;2338.66;-3.334
3885.50;2339.01;-3.340
3890.49;2338.62;-3.330
3895.47;2338.98;-3.340
3900.46;2339.23;-3.340
3905.44;2339.56;-3.350
3910.43;2339.73;-3.350
3915.42;2340.02;-3.356
3920.40;2340.17;-3.360
3925.39;2340.39;-3.360
3930.38;2340.04;-3.360
3935.36;2340.13;-3.360
3940.35;2340.36;-3.360
3945.33;2340.55;-3.366
3950.32;2340.39;-3.360
3955.31;2340.43;-3.366
3960.29;2340.50;-3.360
3965.28;2339.94;-3.354
3970.27;2339.66;-3.350
3975.25;2339.42;-3.346
3980.24;2339.29;-3.340
3985.23;2339.30;-3.340
3990.21;2339.25;-3.340
3995.20;2339.36;-3.340
4000.18;2339.17;-3.340
4005.17;2339.21;-3.340
4010.16;2339.05;-3.340
4015.14;2339.14;-3.340
4020.13;2339.11;-3.340
4025.11;2339.15;-3.340
4030.10;2339.00;-3.340
4035.09;2338.99;-3.340
4040.07;2339.12;-3.340
4045.06;2339.10;-3.340
4050.05;2339.07;-3.340
4055.02;2339.04;-3.340
4060.02;2338.87;-3.340
4065.00;2339.04;-3.340
4070.27;2339.10;-3.340
4075.26;2339.10;-3.340
4080.25;2339.05;-3.340
4085.23;2339.05;-3.340
4090.22;2339.15;-3.340
4095.21;2339.10;-3.340
4100.19;2339.15;-3.340
4105.18;2339.10;-3.340
4110.16;2339.25;-3.340
4115.15;2339.00;-3.340
4120.13;2339.20;-3.340
4125.12;2339.15;-3.340
4130.11;2339.30;-3.340
4135.09;2339.10;-3.340
4140.08;2339.10;-3.340
4145.06;2339.35;-3.340
4150.05;2339.20;-3.340
4155.04;2339.20;-3.340
4160.02;2339.10;-3.340
4165.01;2339.10;-3.340
4170.60;2339.17;-3.340
4175.58;2339.22;-3.340
4180.57;2339.21;-3.340
4185.56;2339.20;-3.340
4190.54;2339.22;-3.340
4195.53;2339.30;-3.340
4200.52;2339.48;-3.350
4205.50;2339.37;-3.340
4210.49;2339.49;-3.350
4215.47;2339.63;-3.348
4220.46;2339.48;-3.348
4225.44;2339.49;-3.350
4230.43;2339.50;-3.350
4235.42;2339.54;-3.350
4240.40;2339.58;-3.350
4245.39;2339.62;-3.350
4250.38;2339.43;-3.342
4255.36;2339.61;-3.350
4260.02;2339.60;-3.350
4265.56;2339.75;-3.350
4270.55;2339.75;-3.350
4275.53;2339.85;-3.350
4280.52;2339.65;-3.350
4285.51;2340.05;-3.360
4290.49;2340.05;-3.360
4295.42;2340.09;-3.360
4300.41;2340.21;-3.360
4305.40;2340.29;-3.360
4310.38;2340.18;-3.360
4315.37;2340.27;-3.360
4320.35;2340.33;-3.360
4325.34;2340.24;-3.360
4330.33;2340.59;-3.368
4335.31;2340.34;-3.360
4340.30;2340.58;-3.368
4345.29;2340.49;-3.362
4350.27;2340.57;-3.368
4355.26;2340.39;-3.360
4360.24;2340.47;-3.360
4365.23;2340.46;-3.360
4370.21;2340.34;-3.360
4375.20;2340.34;-3.360
4380.19;2340.32;-3.360
4385.18;2340.08;-3.360
4390.16;2340.10;-3.360
4395.15;2340.06;-3.360
4400.13;2340.19;-3.360
4405.12;2340.00;-3.360
