time[s];Vsg[mV];pH/ion concentration [mM]
3790.34;2337.11;-3.300
3795.29;2337.04;-3.300
3800.28;2337.23;-3.306
3805.26;2336.96;-3.300
3810.25;2336.99;-3.300
3815.23;2336.64;-3.292
3820.22;2337.10;-3.300
3825.20;2336.81;-3.300
3830.41;2337.10;-3.300
3835.40;2337.25;-3.310
3840.36;2336.98;-3.300
3845.31;2335.42;-3.276
3850.28;2337.16;-3.306
3855.23;2336.97;-3.300
3860.22;2337.22;-3.310
3865.20;2337.03;-3.300
3870.19;2337.04;-3.300
3875.17;2336.93;-3.300
3880.16;2337.23;-3.310
3885.14;2337.16;-3.304
3890.13;2337.17;-3.304
3895.12;2337.29;-3.310
3900.10;2337.72;-3.316
3905.09;2337.29;-3.310
3910.07;2337.17;-3.304
3915.06;2337.15;-3.304
3920.04;2337.23;-3.310
3925.03;2337.08;-3.300
3930.02;2337.27;-3.310
3935.00;2337.23;-3.304
3940.27;2337.25;-3.310
